"X","id","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","weird1","weird2","missing","missing.num","missing2","sd","duplicate","Z_v17","v17.t","Z_v17.t"
147,147,2,4,3,3,4,3,3,4,3,1,2,1,1,3,0,-1.888248022812,7.64129508317277,0,0,FALSE,0,0,38.6034360481716,1,0.331349814187401,2.03356710231693,1.8127233244581
388,388,2,5,3,2,2,5,4,3,2,4,4,2,3,4,0,0.0194240907747034,7.43235444025257,0,0,FALSE,0,0,102.860328857861,1,0.317376466563198,2.005842691474,1.78746199640362
248,248,2,3,3,2,3,3,2,3,2,2,2,3,4,3,1,-0.958754961942596,7.17452665198172,0,0,FALSE,0,0,65.5847744325056,1,0.30013368764601,1.97053678762021,1.75529272779179
244,244,3,3,3,3,3,2,1,3,4,2,2,2,3,2,0,-1.00951870525428,7.06810486533339,0,0,FALSE,0,0,64.5169711040402,1,0.293016505470047,1.95559239098199,1.74167601621609
171,171,3,2,3,1,3,3,4,3,3,2,3,2,2,3,0,-0.130248028449068,6.99230645814858,0,0,FALSE,0,0,45.0087293120536,1,0.287947326596319,1.94481046721948,1.7318519765001
18,18,3,3,3,2,3,2,4,3,2,4,4,3,5,3,1,1.04589724120303,6.99182496413944,0,0,FALSE,0,0,4.06066632327885,1,0.287915125665592,1.94474160430697,1.73178923148331
571,571,4,4,3,3,4,3,2,3,4,4,3,3,4,5,1,-0.0682671237948098,6.84111977271968,0,0,FALSE,0,0,151.70287978896,1,0.277836397089627,1.92295142769747,1.71193493041931
332,332,2,1,2,1,1,4,3,1,2,3,3,4,4,3,1,-0.141775360179536,6.73436057890334,0,0,FALSE,0,0,88.1008725056894,1,0.270696650095332,1.90722286532604,1.69760371969886
685,685,3,3,4,3,3,2,1,2,4,4,3,1,3,2,0,-1.73426141135926,6.70497525819613,0,0,FALSE,0,0,182.336438824161,1,0.26873144459222,1.90284982667406,1.69361918907679
72,72,5,5,5,5,1,5,5,1,1,5,5,5,5,5,0,-1.18610840993787,6.51943147773398,0,0,FALSE,0,0,18.2312676706564,1,0.256322811653838,1.87478717547014,1.66804967049776
232,232,3,4,4,2,2,2,2,3,3,3,3,4,3,2,0,-0.499826699030314,6.50759291628573,0,0,FALSE,0,0,61.2277319915997,1,0.255531082805994,1.87296963612283,1.66639360437017
363,363,4,2,3,3,3,2,2,3,4,1,2,2,2,3,1,0.752868254644868,6.37419785569602,0,0,FALSE,0,0,96.341083633123,1,0.246610005858396,1.85225825657018,1.64752225823753
220,220,4,3,4,3,3,2,4,4,3,3,2,5,2,2,0,-0.522654271812615,6.34493559754996,0,0,FALSE,0,0,57.9408565447807,1,0.244653030424468,1.84765695100451,1.64332974031418
291,291,4,2,3,4,4,4,4,2,4,3,3,4,3,2,0,0.038148761972087,6.0830040879696,0,0,FALSE,0,0,76.8719857802711,1,0.227135806461025,1.80549866737017,1.60491686874281
102,102,2,3,3,2,3,4,2,1,1,1,1,1,1,3,0,0.402664246234249,6.04004099571079,0,0,FALSE,0,0,26.7652595892347,1,0.224262558754152,1.79841079929303,1.59845869865876
536,536,4,2,3,2,3,3,2,2,3,3,3,2,3,3,0,-1.89970536339508,5.94324308749624,0,0,FALSE,0,0,142.533763110267,1,0.217788993813059,1.78225495871076,1.58373816983466
749,749,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0.66617930881422,5.81915513196751,0,0,FALSE,0,0,199.39762307488,1,0.209490349210717,1.76115508487709,1.56451284389932
90,90,2,1,1,2,3,3,2,4,3,4,3,2,4,3,1,-0.233889142445261,5.79728718478411,0,0,FALSE,0,0,23.3760467239343,1,0.20802788396915,1.75739008137273,1.56108232957067
39,39,2,4,4,2,4,1,4,4,4,3,1,2,1,4,0,1.70599667306351,5.72162917301062,0,0,FALSE,0,0,9.76341005101065,1,0.202968094335638,1.74425358529446,1.54911290166111
761,761,4,5,4,4,5,1,4,3,2,3,5,3,2,3,0,-2.35278765340398,5.62738219236923,0,0,FALSE,0,0,202.464323271539,1,0.196665128073891,1.72764435930494,1.53397926694369
750,750,3,4,3,2,2,3,1,2,2,3,2,2,2,3,1,0.984877655673904,5.59969464029033,0,0,FALSE,0,0,199.809978410808,1,0.194813464440361,1.72271206773479,1.5294851683632
75,75,2,3,2,3,2,2,4,3,4,2,2,3,3,1,0,1.2962377371696,5.54581528555786,0,0,FALSE,0,0,19.3385113692348,1,0.191210168581201,1.71304364075322,1.52067570052146
357,357,2,3,3,2,2,3,3,2,2,2,3,2,4,2,0,-0.600416566136118,5.50947843585737,0,0,FALSE,0,0,94.7359546260083,1,0.188780064866879,1.70646996094536,1.51468603736532
158,158,3,2,3,3,3,3,2,3,3,2,3,2,2,3,0,2.27483734978638,5.50313828660775,0,0,FALSE,0,0,41.5311348849892,1,0.188356053969735,1.70531852707458,1.51363689879543
532,532,2,4,3,2,5,2,3,5,4,4,1,3,3,4,1,-0.343030476395012,5.47979180763575,0,0,FALSE,0,0,141.344894215812,1,0.186794708786158,1.70106710893089,1.50976318371333
562,562,1,3,2,3,4,3,4,3,3,4,5,4,4,4,1,-0.265663522060254,5.40977438780896,0,0,FALSE,0,0,149.320089107223,1,0.182112145674858,1.68820738918085,1.49804594286248
482,482,1,3,3,3,3,4,4,4,4,3,3,3,2,3,0,-0.827409016974038,5.36962871326911,0,0,FALSE,0,0,128.000257554686,1,0.179427318739738,1.6807587652122,1.49125906704057
563,563,3,3,2,2,3,3,3,3,4,2,3,2,4,2,1,-0.073593345576546,5.36284576242626,0,0,FALSE,0,0,149.708874996599,1,0.178973694549057,1.67949476001726,1.49010735817025
364,364,3,5,3,3,3,4,3,4,3,2,2,4,3,5,1,-1.08581680990715,5.34821808469009,0,0,FALSE,0,0,96.4229465188894,1,0.177995437647548,1.67676343714613,1.4876186905675
49,49,3,4,3,5,5,2,4,4,4,3,4,3,2,2,1,-1.30118805760448,5.34093017103729,0,0,FALSE,0,0,12.1856067140299,1,0.177508043000425,1.67539982713573,1.48637622593926
80,80,3,3,3,3,3,2,3,3,4,3,3,3,3,1,0,-0.865389613555563,5.33097272831527,0,0,FALSE,0,0,20.5828532073142,1,0.176842117947941,1.67353372214854,1.48467590882405
684,684,3,3,5,3,4,2,3,3,4,5,5,4,4,5,1,0.452268188242024,5.3137762495516,0,0,FALSE,0,0,181.822156799706,1,0.175692067042006,1.67030274060839,1.48173197305978
169,169,4,2,2,4,3,2,4,4,4,4,3,3,2,3,1,1.85560056382632,5.26644920938752,0,0,FALSE,0,0,44.3326585643656,1,0.172526971084634,1.66135636115558,1.47358040484296
162,162,2,1,3,2,3,3,2,3,3,3,3,4,4,3,0,-0.331665963631696,5.25794793124061,0,0,FALSE,0,0,42.5637208156234,1,0.171958430119427,1.65974082348966,1.47210839423128
287,287,4,4,4,4,4,1,2,3,3,1,3,1,1,4,0,-0.308801153525226,5.25320259346044,0,0,FALSE,0,0,75.9949391027506,1,0.171641075614005,1.65883790842029,1.47128569563899
56,56,5,3,3,3,2,4,3,3,3,2,4,2,3,2,0,0.574821396987631,5.17808754200197,0,0,FALSE,0,0,14.1685303665289,1,0.166617597600491,1.64443578771443,1.45816308329955
413,413,3,2,4,4,3,4,1,2,2,3,3,4,2,2,0,0.378503643699092,5.16294693474079,0,0,FALSE,0,0,109.62232867922,1,0.165605037451612,1.64150752785531,1.45549497491848
762,762,2,3,4,4,4,3,1,4,3,3,2,2,1,2,0,-0.961710492368252,5.04323766412808,0,0,FALSE,0,0,202.915670244487,1,0.157599226668547,1.61804826951299,1.43411987611989
494,494,3,3,4,2,3,3,3,3,2,3,2,2,2,2,1,-1.30749893832772,5.00879711085546,0,0,FALSE,0,0,131.308900964586,1,0.155295941790496,1.61119578863508,1.42787618104465
47,47,3,5,3,3,2,3,3,1,2,2,1,1,2,3,0,-0.842221229269316,4.97438972135056,0,0,FALSE,0,0,11.9724959528354,1,0.152994874809588,1.60430269401083,1.42159548041587
735,735,2,3,2,3,3,3,4,3,3,3,3,4,4,2,1,1.32627399019388,4.89932597490999,0,0,FALSE,0,0,195.615638490326,1,0.14797482792771,1.58909763951405,1.40774126825945
712,712,3,3,3,3,2,3,3,3,3,2,3,2,2,5,0,-0.849287718016707,4.83244925368555,0,0,FALSE,0,0,189.571016586582,1,0.143502305681318,1.57535343099721,1.3952181180955
575,575,3,4,3,4,3,2,2,4,4,3,3,3,3,3,0,0.620622475112879,4.76260960116854,0,0,FALSE,0,0,152.833745770212,1,0.138831631135024,1.56079575355674,1.38195376894058
185,185,1,3,5,4,4,1,3,5,4,2,3,3,4,2,1,-1.14481668932827,4.59038308983343,0,0,FALSE,0,0,48.5959456546113,1,0.127313618749524,1.52396348242706,1.34839373806129
168,168,4,3,3,4,3,2,4,3,3,1,2,4,2,2,1,-2.0605807764773,4.51314339290832,0,0,FALSE,0,0,44.12818490825,1,0.122148050574571,1.5069938936413,1.33293175577805
428,428,4,3,2,5,3,2,3,3,3,3,4,2,2,2,0,0.0599102815658049,4.36113449303279,0,0,FALSE,0,0,113.589413877592,1,0.111982133736914,1.47273222833757,1.30171395382604
381,381,4,3,5,3,2,4,1,2,4,2,4,3,2,3,0,0.292364835296489,4.31306997974362,0,0,FALSE,0,0,101.030840683579,1,0.108767717703771,1.46164994283981,1.29161623701112
725,725,2,3,4,4,3,2,1,4,4,3,2,4,3,4,1,0.886021667887168,4.28272084144561,0,0,FALSE,0,0,192.965008500232,1,0.106738054859788,1.45458851823344,1.2851821611159
202,202,3,3,1,2,3,2,3,4,3,2,3,3,2,4,1,0.593740962920609,4.27548239608313,0,0,FALSE,0,0,53.2928875942359,1,0.106253968509258,1.45289693721167,1.28364086296664
142,142,2,3,2,3,4,3,4,3,3,4,2,4,5,2,1,0.392131559971882,4.168064059572,0,0,FALSE,0,0,37.0983249525597,1,0.09907013995247,1.42745167371204,1.26045619901332
48,48,4,4,2,4,3,3,3,3,3,2,3,3,3,3,1,-0.153392014030211,4.11241349140176,0,0,FALSE,0,0,12.0219579323616,1,0.0953483904466825,1.41401008034483,1.2482087791656
730,730,1,2,2,3,2,4,3,1,2,2,2,2,2,3,1,0.277931792351693,4.09734301513107,0,0,FALSE,0,0,194.526587916905,1,0.0943405204561939,1.4103387185483,1.24486358725965
551,551,4,3,5,4,4,3,3,4,3,2,4,2,2,5,1,-0.671334389695167,3.9994116695497,0,0,FALSE,0,0,146.379756001412,1,0.0877911544927843,1.38614726768961,1.2228213451461
255,255,2,4,2,4,5,2,2,4,3,3,3,3,3,4,0,-1.08149659890273,3.94887049408686,0,0,FALSE,0,0,67.3355138732261,1,0.0844111064360362,1.3734295871572,1.21123352451246
237,237,1,2,1,2,3,3,2,4,4,2,4,2,2,3,1,2.08933278902228,3.93085499568721,0,0,FALSE,0,0,62.6911582177369,1,0.0832062818588584,1.36885695837377,1.20706713567829
591,591,4,4,4,4,3,2,3,4,3,3,2,4,3,4,0,-0.512380149344547,3.91287402018539,0,0,FALSE,0,0,157.069033608415,1,0.0820037660735252,1.36427214751076,1.20288964704078
338,338,2,2,1,2,4,3,4,4,2,4,5,3,3,4,1,-0.438116533482488,3.85249748449922,0,0,FALSE,0,0,89.5393890854868,1,0.0779659574897247,1.34872163525909,1.18872066817121
618,618,3,3,1,2,3,3,4,3,2,4,5,3,2,1,1,0.41023356378572,3.83161502755159,0,0,FALSE,0,0,164.389245925104,1,0.0765693989930222,1.34328639252319,1.18376830144337
667,667,5,4,4,5,2,3,2,3,4,2,3,1,2,1,0,-0.323886677781004,3.79278673408846,0,0,FALSE,0,0,177.445007732623,1,0.0739726747050524,1.33310103494316,1.17448782797762
242,242,2,3,2,3,3,3,2,3,3,3,3,2,3,3,0,0.393037324173166,3.76860653973565,0,0,FALSE,0,0,63.9593363262683,1,0.0723555730412002,1.32670531502706,1.16866031446036
373,373,2,3,2,3,2,3,2,3,3,3,4,3,3,4,1,-0.696931662635741,3.65642955690975,0,0,FALSE,0,0,98.9500095785968,1,0.0648534999425774,1.29648714037435,1.14112677272219
121,121,4,3,2,4,4,1,2,3,4,4,5,5,4,4,0,0.614347436046134,3.63141668600611,0,0,FALSE,0,0,31.4345648630909,1,0.0631807112724029,1.28962284376762,1.13487231164714
620,620,3,5,3,3,3,3,4,2,3,1,3,4,1,2,1,1.09397570864203,3.58501656872879,0,0,FALSE,0,0,164.924225024706,1,0.0600776052444989,1.27676309572257,1.12315504501506
397,397,5,4,3,2,3,1,3,4,1,5,4,1,1,4,1,0.682411898426538,3.53129449528088,0,0,FALSE,0,0,105.352156708237,1,0.0564848279040591,1.26166451626675,1.1093978484798
744,744,2,3,4,2,3,3,1,4,2,2,4,4,4,2,1,-0.713573628998618,3.50865414223662,0,0,FALSE,0,0,198.063648333582,1,0.0549707063860978,1.25523252868746,1.10353728937889
20,20,3,4,3,2,3,2,2,5,4,5,5,4,5,3,1,-0.905820251729579,3.50601808611226,0,0,FALSE,0,0,4.52647887314312,1,0.0547944145547539,1.25448094510304,1.10285247773063
50,50,4,4,5,3,3,2,4,4,4,3,2,3,2,4,0,0.403340366321123,3.46253641133357,0,0,FALSE,0,0,12.5121918565432,1,0.051886485544517,1.24200138736678,1.09148162466772
356,356,2,2,3,2,4,2,3,4,4,3,5,3,4,3,1,-0.429206921369426,3.45221431262809,0,0,FALSE,0,0,94.3068699209433,1,0.0511961733515077,1.23901585490592,1.08876133187816
513,513,3,3,3,4,3,3,3,3,3,2,2,3,2,4,1,-1.74963359483106,3.44292296681354,0,0,FALSE,0,0,136.345392052925,1,0.0505747949392044,1.23632081025002,1.08630571947362
116,116,3,3,3,4,3,2,3,2,2,4,3,3,3,2,1,0.562282189593213,3.35836216550595,0,0,FALSE,0,0,30.2273437088393,1,0.0449196124168483,1.2114534043901,1.06364757532584
602,602,3,3,4,5,4,2,1,3,4,3,2,5,4,2,1,-1.82091339720844,3.35224418918355,0,0,FALSE,0,0,160.011280508938,1,0.0445104598043421,1.20963002876827,1.06198619142807
569,569,3,5,4,4,3,4,4,2,2,1,1,2,3,2,0,-0.255227650132542,3.34720880298759,0,0,FALSE,0,0,151.295232088613,1,0.0441737076973567,1.20812680540062,1.06061651692553
391,391,3,1,2,2,3,2,3,5,4,4,5,3,4,3,1,-0.344834392608529,3.32409649151444,0,0,FALSE,0,0,103.662809251814,1,0.0426280229607756,1.20119790530667,1.05430319184455
128,128,2,3,3,3,2,4,3,4,2,3,2,2,3,3,1,0.485939629728311,3.31303585789976,0,0,FALSE,0,0,33.4765786585385,1,0.0418883196829365,1.19786494665181,1.05126633878212
401,401,3,3,2,2,2,4,1,3,2,3,1,3,2,2,1,1.04349662813554,3.30270161637453,0,0,FALSE,0,0,106.537719678458,1,0.0411971954131617,1.19474080517225,1.0484197512297
642,642,2,2,3,3,3,3,3,4,2,5,3,4,2,2,0,-0.691436004349264,3.30039935895257,0,0,FALSE,0,0,170.782185678293,1,0.0410432270763755,1.19404347901478,1.0477843766883
28,28,4,5,4,4,3,2,4,3,4,3,2,2,2,1,0,-0.493744341070182,3.23843979705047,0,0,FALSE,0,0,6.69098130091773,1,0.0368995502646216,1.17509166970441,1.03051627764996
259,259,3,4,4,3,5,1,4,4,4,1,3,2,2,4,0,-0.791324068975428,3.14308835914545,0,0,FALSE,0,0,68.4089593129856,1,0.0305227210862824,1.14520587041596,1.00328558249567
233,233,4,2,3,2,4,2,3,3,3,4,4,4,3,4,0,0.343180054778121,3.10332602746033,0,0,FALSE,0,0,61.433784598622,1,0.0278635310157452,1.13247444841627,0.991685241209558
713,713,3,3,4,3,3,4,2,4,2,3,1,2,2,4,0,0.514565807686567,3.09558063933606,0,0,FALSE,0,0,189.81924600484,1,0.0273455417953036,1.12997549414214,0.98940829819102
161,161,4,3,4,3,1,3,3,2,2,5,3,3,3,4,0,0.324683556858803,3.07156335057751,0,0,FALSE,0,0,42.2382046738013,1,0.0257393347877839,1.12218666669891,0.982311443137257
285,285,4,5,4,4,4,1,3,4,4,2,2,3,3,3,1,-0.802478172112591,2.9793062224378,0,0,FALSE,0,0,75.2929808616512,1,0.019569444122715,1.09169046215008,0.95452457214154
216,216,3,2,3,2,3,3,4,3,3,1,2,2,3,2,1,1.50585969603162,2.9773597784963,0,0,FALSE,0,0,57.0342098998583,1,0.0194392715653539,1.09103692743436,0.953929098537346
51,51,1,2,1,2,3,3,3,4,4,5,3,4,5,1,1,-0.118921779994889,2.91238006632302,0,0,FALSE,0,0,12.8706583418971,1,0.0150936158134248,1.06897063909906,0.93382321597266
723,723,4,5,4,3,4,2,2,5,4,3,1,2,3,4,0,1.12609386536671,2.9037750378597,0,0,FALSE,0,0,192.370078891566,1,0.014518136326267,1.06601162766012,0.931127088033302
738,738,4,5,3,3,2,5,4,2,3,4,3,3,3,4,1,0.282536912762716,2.90171443711633,0,0,FALSE,0,0,196.336389958607,1,0.0143803292912193,1.06530174752382,0.930480274829439
623,623,3,3,4,2,3,2,4,3,3,1,1,2,2,4,0,0.732028660451438,2.86035928354206,0,0,FALSE,0,0,165.82792617319,1,0.0116146158863539,1.05094724055788,0.917401046146044
125,125,5,3,4,3,2,3,2,1,3,1,1,2,2,3,1,0.0569100458773427,2.85436440505685,0,0,FALSE,0,0,32.7700110829036,1,0.0112136957021909,1.0488491931243,0.915489392737295
59,59,2,2,3,3,4,3,4,4,3,2,3,4,5,2,0,-0.336732826916057,2.84228185779752,0,0,FALSE,0,0,14.9315287044076,1,0.0104056497869452,1.0446072006185,0.911624265903734
63,63,3,5,4,4,3,3,3,2,3,2,2,2,2,3,0,0.0864497503165678,2.82285358109596,0,0,FALSE,0,0,16.0823772229996,1,0.00910634267131719,1.03774828150611,0.905374704577469
296,296,3,2,3,2,3,3,1,2,3,1,2,3,4,2,0,-0.0381350512415377,2.81566934330867,0,0,FALSE,0,0,78.4559791178509,1,0.00862588156708348,1.0352000107014,0.903052826390982
644,644,3,3,3,3,3,3,4,3,4,2,2,2,2,2,0,1.05966639865608,2.8074185527751,0,0,FALSE,0,0,171.356850839616,1,0.00807409249106301,1.03226539662197,0.900378928309115
115,115,3,3,2,2,1,4,3,2,2,2,2,3,2,5,0,-1.66850076319538,2.80031045231975,0,0,FALSE,0,0,30.1067697107741,1,0.00759872323201322,1.02973028686337,0.898069041919502
123,123,4,4,3,4,4,2,1,4,3,4,3,4,5,3,1,-0.244240109437525,2.79398961435116,0,0,FALSE,0,0,31.9639219698132,1,0.00717600381765253,1.02747054370229,0.896010058100719
258,258,4,3,3,3,5,2,2,4,3,2,2,3,4,4,0,0.935104916637968,2.78800943121647,0,0,FALSE,0,0,68.1372241779875,1,0.00677606641615167,1.02532787568182,0.894057748272256
145,145,4,4,4,4,4,3,2,4,4,3,3,5,3,3,1,0.321295184178462,2.78386993222262,0,0,FALSE,0,0,37.7938305332183,1,0.00649922866154979,1.02384202163315,0.892703899969502
396,396,3,3,2,3,4,2,3,3,3,4,3,3,2,3,1,-1.92208238155434,2.77549686845625,0,0,FALSE,0,0,105.056029007236,1,0.00593926230434949,1.0208297828665,0.889959273506785
660,660,4,3,3,3,3,4,2,3,3,3,3,3,3,2,1,0.806881972664435,2.72309613523918,0,0,FALSE,0,0,175.570717726724,1,0.00243485238786947,1.00176951796713,0.872592354254419
183,183,3,2,3,3,3,2,3,3,3,2,2,3,2,1,0,-0.125020532336773,2.69630874993718,0,0,FALSE,0,0,48.2122710201778,1,0.000643389312342912,0.991883707983027,0.863584816077775
455,455,3,5,3,5,3,5,3,3,3,3,2,2,3,3,0,0.654666732516952,2.6954517678622,0,0,FALSE,0,0,120.723915345153,1,0.000586076822661415,0.991565822172125,0.863295171771226
245,245,3,5,5,3,4,1,5,4,3,2,3,4,1,4,1,0.0621092288971952,2.6689520194045,0,0,FALSE,0,0,64.6085422855503,1,-0.00118614993024854,0.981685893267356,0.854292992189039
239,239,4,3,2,2,3,4,4,2,2,3,1,4,2,3,1,0.645323139617115,2.65531277704653,0,0,FALSE,0,0,63.1428260653297,1,-0.00209830312426099,0.976562454552413,0.849624728294145
727,727,4,4,4,4,4,2,3,5,4,3,3,3,4,3,0,-0.181724489281549,2.63257714917224,0,0,FALSE,0,0,193.334078563677,1,-0.00361879634808686,0.96796327102477,0.841789510538817
531,531,3,3,4,3,2,3,4,3,2,3,4,4,5,4,1,0.876964883998699,2.56269522077557,0,0,FALSE,0,0,141.034092986821,1,-0.00829229818329132,0.94105952527999,0.817275938329698
421,421,4,5,5,5,5,3,3,4,4,3,4,4,4,2,1,0.0529668088638078,2.55724281807454,0,0,FALSE,0,0,111.429768942565,1,-0.00865693915148119,0.938929653894507,0.81533528826188
254,254,4,4,3,2,5,2,2,5,5,2,5,5,2,1,1,1.82963052572235,2.55045314946914,0,0,FALSE,0,0,66.9520083983403,1,-0.00911101260674778,0.936271049056724,0.812912878301395
44,44,2,3,2,2,3,2,4,4,4,4,4,4,5,3,0,0.110980307607301,2.53840000493567,0,0,FALSE,0,0,10.9205421915875,1,-0.00991709215248397,0.931533963231251,0.808596643062439
581,581,3,2,4,4,3,2,4,3,4,3,2,2,3,3,0,-0.483670438642809,2.51786930698198,0,0,FALSE,0,0,154.478989645059,1,-0.011290126022127,0.923413030773128,0.801197187755879
31,31,2,3,3,1,2,4,4,3,4,3,3,4,5,2,0,-0.765427210199227,2.49993651877908,0,0,FALSE,0,0,7.51262673367714,1,-0.0124894191798782,0.916265339063392,0.794684508870296
668,668,4,4,4,5,4,3,2,5,4,4,4,3,2,4,1,-1.99057838122535,2.49329601998397,0,0,FALSE,0,0,177.546031796245,1,-0.0129335165884308,0.913605537959225,0.792261008921722
631,631,3,3,3,3,3,4,3,3,3,3,1,4,2,4,0,1.22459126800811,2.47593848773226,0,0,FALSE,0,0,167.862204740137,1,-0.0140943382871757,0.906619511109975,0.785895632321434
97,97,2,3,2,3,2,3,3,3,3,3,3,1,2,4,1,0.13520776867625,2.47494927469221,0,0,FALSE,0,0,25.2538757769623,1,-0.0141604940024536,0.906219900736772,0.785531523998677
340,340,2,4,3,3,3,3,2,1,5,2,3,5,4,4,0,0.0227258037833536,2.47368436688709,0,0,FALSE,0,0,90.0537080284334,1,-0.0142450873885296,0.905708685753291,0.785065726204911
619,619,2,1,2,3,1,5,2,2,1,3,2,1,5,4,0,-0.58439965809945,2.45607599542934,0,0,FALSE,0,0,164.823265321401,1,-0.0154226844899667,0.898564952570568,0.778556654164214
732,732,4,3,3,3,4,4,2,3,4,2,3,3,3,3,0,0.0546303171768067,2.39349859656993,0,0,FALSE,0,0,194.793452176887,1,-0.0196076804556148,0.872756143499693,0.755040742633084
694,694,2,4,1,3,3,3,2,4,4,1,3,3,1,3,1,-0.165527638320266,2.38812902332789,0,0,FALSE,0,0,184.783449142295,1,-0.0199667820284634,0.870510223940095,0.752994354304026
476,476,3,2,1,1,2,4,4,1,3,3,2,2,3,3,1,-0.531430349433952,2.3790775531882,0,0,FALSE,0,0,126.583009293342,1,-0.0205721182474215,0.866712829859764,0.749534327032071
